case_id,created_at,system_name,category,plant,device,title,description,reporter
INC-20260428-1001,2026-04-28 09:01:00,ees,PM保養,Fab 12B,General,PM 保養工單結案失敗,機台完成年度 PM 後，於 EES 點選完工無法同步更新狀態,李副理
INC-20260428-1002,2026-04-28 18:47:00,ees,PM保養,Fab 15,Tool-13,PM 保養工單結案失敗,機台完成年度 PM 後，於 EES 點選完工無法同步更新狀態,陳技術員
INC-20260428-1003,2026-04-28 11:14:00,ees,帳號與權限,Fab 15,General,權限開通申請,廠端新進作業員申請基礎檢視權限,林工程師
INC-20260428-1004,2026-04-28 15:37:00,tcs/tap,報表與查詢,Fab 12A,Tool-30,搬運歷史紀錄匯出,工程師申請匯出昨日 OHT 搬運統計報表,李副理
INC-20260428-1005,2026-04-28 13:17:00,fdc,感測器異常,Fab 12B,Tool-53,Sensor 取樣頻率異常,偵測到單一 Sensor SVID 採樣週期跳動，已通知設備檢查,張組長
INC-20260428-1006,2026-04-28 09:24:00,fdc,模型維護,Fab 14A,Tool-87,模型微調通知,例行性 FDC 演算法閾值微調驗證,陳技術員
INC-20260428-1007,2026-04-28 19:29:00,others,帳號與權限,Fab 14B,General,新帳號權限開通,廠端新進作業員申請基礎檢視權限,陳技術員
INC-20260429-1008,2026-04-29 17:56:00,ees,PM保養,Fab 15,General,PM 保養工單結案失敗,機台完成年度 PM 後，於 EES 點選完工無法同步更新狀態,黃專員
INC-20260429-1009,2026-04-29 08:42:00,ees,PM保養,Fab 14A,Tool-39,PM 保養工單結案失敗,機台完成年度 PM 後，於 EES 點選完工無法同步更新狀態,王作業員
INC-20260429-1010,2026-04-29 14:17:00,ees,零件壽命,Fab 18,Tool-30,Parts 壽命計數未重置,更換消耗性零件後，EES 介面仍顯示壽命過期警告,趙技術員
INC-20260429-1011,2026-04-29 11:42:00,tcs/tap,設備通訊,Fab 18,Tool-92,Load Port 載入訊號延遲,OHT 天車放置晶圓盒後，TAP 交握訊號延遲約 10 秒,李副理
INC-20260429-1012,2026-04-29 17:40:00,tcs/tap,系統效能,Fab 15,Tool-30,主機回應微幅延遲,尖峰排程時段 TCS 主機反應時間稍有波動,張組長
INC-20260429-1013,2026-04-29 12:59:00,fdc,感測器異常,Fab 18,General,Sensor 取樣頻率異常,偵測到單一 Sensor SVID 採樣週期跳動，已通知設備檢查,王作業員
INC-20260429-1014,2026-04-29 11:52:00,fdc,腔體警報,Fab 14A,Tool-18,腔體壓力單點警報,腔體即時壓力短暫碰觸 UCL 邊界，隨後恢復正常,林工程師
INC-20260429-1015,2026-04-29 19:20:00,others,帳號與權限,Fab 18,Tool-92,新帳號權限開通,廠端新進作業員申請基礎檢視權限,王作業員
INC-20260429-1016,2026-04-29 10:16:00,others,帳號與權限,Fab 12B,Tool-78,新帳號權限開通,廠端新進作業員申請基礎檢視權限,張組長
INC-20260429-1017,2026-04-29 19:37:00,others,帳號與權限,Fab 15,General,密碼重設申請,工程師忘記密碼導致帳號被鎖定,劉工程師
INC-20260430-1018,2026-04-30 16:31:00,ees,配方管理,Fab 12A,Tool-29,Recipe 參數上傳逾時,設備工程師修改參數後上傳 EES 主機回應逾時,陳技術員
