caseid,createdatetime,fab,subject,username,productname,issuetype
case-20260428-00001,2026/4/28 9:01:47 AM,F12B,[ees alarm:PM保養]f12b_General的年度PM完成後於EES點選完工無法同步更新狀態,eric_huang,ees,PM保養
case-20260428-00002,2026/4/28 6:47:57 PM,F15,[ees alarm:PM保養]f15_Tool-13的年度PM完成後於EES點選完工無法同步更新狀態,john_lin,ees,PM保養
case-20260428-00003,2026/4/28 11:14:32 AM,F15,[ees alarm:帳號與權限]f15_General的廠端新進作業員申請基礎檢視權限,alex_chen,ees,帳號與權限
case-20260428-00004,2026/4/28 3:37:17 PM,F12B,[tcs/tap alarm:自動搬運]f12b_Tool-53的自動搬運系統指令重試後成功進料,alex_chen,tcs/tap,自動搬運
case-20260428-00005,2026/4/28 11:48:21 AM,F12A,[fdc alarm:模型維護]f12a_General的例行性FDC演算法閾值微調驗證,john_lin,fdc,模型維護
case-20260428-00006,2026/4/28 5:16:51 PM,F18,[others alarm:帳號與權限]f18_Tool-25的廠端新進作業員申請基礎檢視權限,alex_chen,others,帳號與權限
case-20260428-00007,2026/4/28 9:35:18 AM,F15,[others alarm:帳號與權限]f15_General的工程師忘記密碼導致帳號被鎖定,sam_liu,others,帳號與權限
case-20260429-00008,2026/4/29 6:14:49 PM,F12A,[ees alarm:帳號與權限]f12a_Tool-22的廠端新進作業員申請基礎檢視權限,eric_huang,ees,帳號與權限
case-20260429-00009,2026/4/29 3:40:53 PM,F12B,[tcs/tap alarm:派工作業]f12b_General的機台換批時派工佇列稍有延遲重整後正常,sam_liu,tcs/tap,派工作業
case-20260429-00010,2026/4/29 6:17:44 PM,F15,[tcs/tap alarm:報表與查詢]f15_Tool-78的工程師申請匯出昨日OHT搬運統計報表,john_lin,tcs/tap,報表與查詢
case-20260429-00011,2026/4/29 10:29:24 AM,F18,[fdc alarm:模型維護]f18_Tool-38的例行性FDC演算法閾值微調驗證,eric_huang,fdc,模型維護
case-20260429-00012,2026/4/29 11:52:02 AM,F14B,[others alarm:帳號與權限]f14b_General的工程師忘記密碼導致帳號被鎖定,sam_liu,others,帳號與權限
case-20260430-00013,2026/4/30 7:20:13 PM,F14B,[ees alarm:帳號與權限]f14b_Tool-92的廠端新進作業員申請基礎檢視權限,tony_chang,ees,帳號與權限
case-20260430-00014,2026/4/30 10:16:08 AM,F18,[ees alarm:帳號與權限]f18_Tool-43的廠端新進作業員申請基礎檢視權限,david_li,ees,帳號與權限
case-20260430-00015,2026/4/30 5:25:23 PM,F12B,[ees alarm:PM保養]f12b_Tool-21的年度PM完成後於EES點選完工無法同步更新狀態,david_li,ees,PM保養
case-20260430-00016,2026/4/30 10:40:10 AM,F15,[tcs/tap alarm:系統效能]f15_General的尖峰排程時段TCS主機反應時間稍有波動,chris_chao,tcs/tap,系統效能
